FamilyIncome,ParentEducation,FamilyIncomeSimp,ParentEducationSimp,MacArthur1,MacArthur2,StudyID
"$100,000 through $199,999","Doctoral degree (e.g., PhD, EdD)",100k-200k,Postgrad.,5,6,2
"$100,000 through $199,999","Master's degree (e.g., MA, MS, MEng, MEd, MBA)",100k-200k,Postgrad.,7,6,6
"$200,000 or more","Master's degree (e.g., MA, MS, MEng, MEd, MBA)",>200k,Postgrad.,7,8,10
"$25,000 through $49,999","Bachelor's degree (e.g., BA, AB, BS, BBA)",25k-50k,Bach.,4,6,19
"$200,000 or more","Master's degree (e.g., MA, MS, MEng, MEd, MBA)",>200k,Postgrad.,8,7,26
"$200,000 or more","Master's degree (e.g., MA, MS, MEng, MEd, MBA)",>200k,Postgrad.,6,6,45
"$100,000 through $199,999","Bachelor's degree (e.g., BA, AB, BS, BBA)",100k-200k,Bach.,6,6,48
"$100,000 through $199,999","Doctoral degree (e.g., PhD, EdD)",100k-200k,Postgrad.,8,7,50
"$25,000 through $49,999","Associate degree: occupational, technical, or vocational program",25k-50k,Some Coll.,7,4,57
"$200,000 or more","Doctoral degree (e.g., PhD, EdD)",>200k,Postgrad.,6,9,73
