"$20, 1 week","$20, 3 months","$20, 1 year","$20, tomorrow","$20, 1 month","$20, 6 months","$200, 1 week","$200, 3 months","$200, 1 year","$200, tomorrow","$200, 1 month","$200, 6 months",auc_20,auc_200,StudyID
19.84375,9.84375,9.84375,19.84375,19.53125,19.53125,198.4375,195.3125,195.3125,198.4375,198.4375,195.3125,0.7526398401826484,0.9764483447488584,81
18.90625,7.65625,0.15625,19.84375,8.59375,0.15625,48.4375,17.1875,1.5625,198.4375,17.1875,32.8125,0.18047410102739725,0.10921268550228312,114
19.84375,4.84375,9.84375,19.84375,1.09375,19.84375,198.4375,198.4375,23.4375,198.4375,198.4375,198.4375,0.600021404109589,0.7707191780821918,115
19.84375,19.84375,18.90625,19.84375,19.84375,18.90625,198.4375,198.4375,192.1875,198.4375,198.4375,195.3125,0.9601723030821918,0.9757973030821918,124
19.84375,19.53125,19.21875,19.84375,19.53125,19.21875,198.4375,195.3125,195.3125,198.4375,198.4375,195.3125,0.9648794235159815,0.9764483447488584,136
19.84375,18.90625,18.90625,19.84375,18.90625,18.90625,198.4375,189.0625,189.0625,198.4375,198.4375,195.3125,0.9449967893835616,0.9621254280821918,138
19.84375,9.84375,2.34375,19.84375,9.84375,4.84375,148.4375,142.1875,48.4375,198.4375,179.6875,23.4375,0.32759703196347034,0.3943564497716895,139
17.34375,9.84375,4.84375,19.84375,11.09375,9.84375,195.3125,148.4375,23.4375,198.4375,164.0625,157.8125,0.45477311643835616,0.6219980736301369,147
17.34375,16.71875,15.46875,19.84375,18.28125,18.28125,195.3125,182.8125,179.6875,195.3125,195.3125,179.6875,0.8588791381278539,0.9120380279680363,151
18.59375,16.71875,9.21875,19.84375,18.28125,15.78125,192.1875,189.0625,176.5625,198.4375,192.1875,189.0625,0.7363976883561644,0.9299158105022832,156
